3x3 Eyes - Juuma Houkan;33ejh
3x3 Eyes - Seima Kourinden;33esk
3 Ninjas Kick Back;3nkb
4 Nin Shogi;4ns
7th Saga;7sg
Area 88 (U.N. Squadron);a88
Andre Agassi Tennis;aat
American Battle Dome;abd
Adventures of Batman and Robin, The;abr
Akazukin Cha Cha;acc
Accelebrid;accb
Christmas Demo;acd
Ace o Nerae!;ace
ACME Animation Factory;acme
Acrobat Mission;acrm
Action Pachio;actp
Actraiser;actr
Actraiser 2;actr2
Addams Family, The;adf
Aoki Densetsu Shoot!;ads
Aero the Acro-Bat;aero
Aero the Acro-Bat 2;aero2
Addams Family, The - Pugsley's Scavenger Hunt;afam2
Addams Family Values;afv
American Gladiators;ag
Uchuu Race Astro Go Go;agogo
Astrohawk - May 2003 Version;ahawk
Air Cavalry;airc
Air Management - Ozora ni Kakeru (Aerobiz);airm
Air Management 2 - Koukuu Ou wo Mezase (Aerobiz Supersonic);airm2
Alien 3;al3
Aladdin;ala
Alcahest;alca
Alfred Chicken;alch
Ardy Lightfoot;alft
Alice's Paint Adventure;alice
Albert Odyssey;alod
Albert Odyssey 2;alod2
Archer MacLean's Dropzone;amdz
ABC Monday Night Football;amnf
Arabian Nights;an
Animaniacs;ani
Animaniacs (Super Gameboy);anigb
Apocalypse II;apii
Armor Police Metal Jack;apmj
Appleseed - Prometheus no Shintaku;apple
Super Aquatic Games (James Pond's Crazy Sports);aqua
Araiguma Rascal;ar
Adventures of Rocky and Bullwinkle and Friends, The;arbf
Arcus Spirits;arc
Aretha;are
Aretha 2;are2
A Ressha de Ikou 3 Super Version;ari3
AAAHH!!! Real Monsters;arm
Aryol;aryol
Aguri Suzuki F-1 Super Driving;asf1
A.S.P. Air Strike Patrol;asp
Asahi Shinbun Rensai;asr
Asterix;ast
Asterix & Obelix;ast2
Ashita no Joe;astj
An American Tail - Fievel Goes West;atfgw
Al Unser Jr's Road to the Top;aurt
Alien vs. Predator;avsp
Axelay;axe
Ballz 3D;ballz
Bass Master Classic;basc
Bass Master Classic Pro Edition;bascp
Bastard!!;bast
Beauty and the Beast;batb
Bazooka Blitzkrieg;bazb
Bing Bing! Bingo;bbb
Bomberman B-Daman;bbd
Ball Bullet Gun;bbg
Beavis and Butt-Head;bbh
Bebe's Kids;bbk
Bugs Bunny - Rabbit Rampage;bbr
Bubsy in Claws Encounters of the Furred Kind;bbs
Bubsy 2;bbs2
Bouncing Ball Trainer;bbt
Battle Clash;bc
Battle Cars;bcar
Battle Cross;bcr
BS Bdash;bdash
Battle Dodgeball 2;bdb2
Brandish;bdh
Brandish 2;bdh2
Battle Dodgeball;bdodg
Bishin Densetsu Zoku;bdz
Beach Volleyball (Super Gameboy);bevb
Batman Forever;bf
Itoi Shigesato no Bass Tsuri No.1 (Shigesato Itoi's Bass Fishing No.1);bfn1
Benkei Gaiden;bg
Brett Hull Hockey;bhh
Brett Hull Hockey '95;bhh95
Bio Metal;bio
Bioworm;biow
Battle Jockey;bj
Bakutou Dodgers;bkdc
Block Kuzushi;bkz
Bahamut Lagoon;bl
Bill Laimbeer's Combat Basketball;blcb
Blues Brothers, The;blues
Blazeon;blzn
Battle Master;bm
Biker Mice From Mars;bmfm
Bokujou Monogatari (Harvest Moon);bmg
Bazoe! Mahou Sekai (Ancient Magic);bms
Bonkers;bnkr
Bounty Sword;bnts
B.O.B.;bob
Bobby's World;bobby
Breath of Fire;bof
Breath of Fire 2;bof2
Super Bonk;bonk
Boogerman;boog
Best of the Best - Championship Karate;botb
Batman Returns;br
Battle Racers;brace
Brainies;brain
Brawl Brothers;brawl
Barbarossa;brbr
BreakThru!;breakt
Batman - Revenge of the Joker;brj
Brain Lord;brld
Brass Numbers;brnr
Bronkie;bronk
Brutal - Paws of Fury;brtl
Bram Stoker's Dracula;bsd
BS Dragon Quest;bsdq
Beethoven's 2nd;bsec
Bushi Seiryuden;bshs
Super Baseball Simulator 1.000;bsim
Barkley - Shut Up and Jam!;bsj
Barbie Super Model;bsm
Bishoujo Senshi Sailormoon R;bsmr
BS Nichibutsu Mahjong;bsnm
Bishoujo Senshi Sailormoon;bssm
BS Saterawalker 2;bssw2
Big Sky Trooper;bst
Battle Submarine;bsub
Satellaview BS-X;bsx
BS Zelda;bsz
Battletoads in Battlemania;btbm
Battle Blaze;btbz
Battletoads & Double Dragon;btdd
Battle Tycoon - Flash Hiders SFX;btfh
Battle Grand Prix;btgp
Gekitotsu Dangan Jidousha Kessen - Battle Mobile;btmb
Battle Pinball;btpb
Baby T-Rex;btrex
Battle Soccer - Field no Hasha;btsc
Battle Soccer 2;btsc2
A Bug's Life (Super Gameboy);bug
Burai - Hachigyoku no Yuushi Densetsu;burai
SNES Burn-in Test Cart;burn
BS Buster's Digital Magazine;bust
Barbie Vacation Adventure;bva
Bulls vs. Blazers;bvb
Bill Walsh College Football;bwcf
Bishoujo Wrestlinger's History;bwh
Brunswick World Tournament of Champions;bwtc
Battle Zeque Den;bzd
Carrier Aces;cace
Cute Angela - Great Journey;cagj
Cacoma Knight;cakn
Captain Novolin;cano
Captain America and the Avengers;capam
Captain Commando;captc
Gekisou Sentai Car Rangers;car
Cardmaster (Arcana);card
Casper (Japanese Version);cas
Casper (American Version);casp
Crystal Beans - From Dungeon Explorer;cb
Cyborg 009;cb9
CB Chara Wars;cbcw
Combatribes;cbtr
Chester Cheetah - Too Cool to Fool;cctcf
Cannondale Cup;ccup
Chester Cheetah Wild Wild Quest;ccwwq
Kidou Senshi Gundam - Cross Dimension 0079;cd79
Cannon Fodder;cf
College Football USA '97;cfu97
Cosmo Gang the Puzzle;cgp
Cosmo Gang the Video;cgv
BS Cheap de Gorgeous;cheap
Chinhai;chinh
Chou Aniki - Bakuretsu Rantou Hen;cho
Kyle Petty's No Fear Racing (Circuit USA);circ
Civilization;civ
Cyber Knight;ck
Cyber Knight 2;ck2
Choplifter 3;cl3
Clay Fighter;clay
Cliffhanger;cliff
Clue;clue
Capcom's MVP Football;cmf
Cameltry (On the Ball);cml
Cybernator;cn
Congo's Caper;cngc
Computer Nouryoku Kaiseki Ultra Baken;cnkub
Contra 3;cntr3
Columns;col
BS Columbus no Tamagoyaki;colu
Cool World;coolw
Cu-On-Pa;cop
Coron Land;corl
Corn Buster;cornb
Championship Pool;cp
Cosmo Police Galivan 2;cpg2
Cal Ripken Jr. Baseball;crjb
Chuck Rock;crock
Crayon Shin-chan - Arashi wo yobu Enji;crs
Crayon Shin-chan 2;crs2
Crayon Shin-chan - Nagagutsu Dobon!!;crsnd
Chaos Seed;cs
College Slam Basketball;csb
Caravan Shooting Collection;csc
Cool Spot;cspot
Congo the Movie - The Secret of Zinj;csz
Chrono Trigger;ct
Captain Tsubasa 3;ct3
Captain Tsubasa 4;ct4
Captain Tsubasa 5;ct5
Controller Test Cartridge;ctc
Cutthroat Island;cti
Captain Tsubasa J;ctj
Clock Tower;ctow
Chrono Trigger Pre-Release;ctp
Marchen Adventure Cotton 100%;cttn
Clock Works;cw
Champions World Class Soccer;cwcs
Dark Half;daha
Dark Law - Meaning of Death;dala
Dolucky's A-League Soccer;dals
Tuff E Nuff;dance
Super Dany;dany
Dark Kingdom;dark
Death and Return of Superman, The;dars
Daze Before Christmas;dbc
Dragon Ball Z - Hyper Dimension;dbhd
Dragon - The Bruce Lee Story;dbls
Dear Boys;dboys
Death Brade;dbra
Dragon Ball Z Super Gokuden - Totsugeki-Hen;dbth
Dragon Ball Z - Super Butouden;dbzb
Dragon Ball Z - Super Butouden 2;dbzb2
Dragon Ball Z - Super Butouden 3;dbzb3
Dragon Ball Z RPG - Legend of the Super Saiya-jin;dbzr
Demon's Crest;dc
David Crane's Amazing Tennis;dcat
Double Dragon 5;dd5
Donald Duck - Mahou no Boushi;ddmb
Dino Dini's Soccer;dds
Daisenryaku Expert;de
Daisenryaku Expert WWII;de2
Demolition Man;deman
